Year	Site	Tree	0pt1km	0pt5km	1km	2km	Foundresses	Poll	Npoll	SO1	SO2	LO1	Het1	Het2	Aepoc	Physo	Seeds	Crop	Vol	Lat	Nearest20	Nearest5	Nearest10	Nearest40
2010	96	36	26	92	116	132	1	0	47	1	1	18	27	0	0	0	NA	8	2009.6	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	1	49	21	0	23	0	5	1	3	NA	8	1538.6	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	15	35	20	0	10	2	3	0	2	NA	8	2386.4	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	46	5	11	26	2	2	0	1	NA	8	1641.1733333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	9	78	23	8	38	4	5	0	0	NA	8	2562.24	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	46	2	0	30	8	6	1	3	NA	8	1766.25	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	82	12	0	68	0	2	0	0	NA	8	1992.8533333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	53	9	31	11	2	0	0	0	NA	8	1507.2	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	3	33	15	8	5	5	0	0	2	NA	8	2135.2	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	0	23	4	4	9	6	0	0	0	NA	8	1149.7633333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	1	47	19	7	13	8	0	0	3	NA	8	2277.5466666667	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	1	56	9	0	29	11	7	0	2	NA	8	2009.6	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	0	39	13	5	17	1	3	1	6	NA	8	1884	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	62	4	0	53	2	3	0	1	NA	8	1758.4	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	60	27	10	17	2	4	0	2	NA	8	1766.25	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	40	20	10	9	1	0	0	0	NA	8	1061.32	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	0	46	15	2	21	5	3	0	0	NA	8	1992.8533333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	43	10	3	29	1	0	0	0	NA	8	2135.2	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	4	42	11	0	23	8	0	0	0	NA	8	1884	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	30	6	1	18	5	0	0	2	NA	8	2001.75	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	43	20	12	11	0	0	0	0	NA	8	1538.6	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	50	2	12	22	9	5	0	0	NA	8	2873.6233333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	41	25	14	0	1	1	0	0	NA	8	2135.2	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	3	37	9	18	8	2	0	0	1	NA	8	1766.25	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	NA	1	47	30	0	14	0	3	0	1	NA	8	NA	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	40	9	11	19	0	1	0	0	NA	8	NA	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	35	10	16	9	0	0	0	0	NA	8	1436.0266666667	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	14	4	0	3	7	0	0	0	NA	8	1142.96	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	29	16	4	8	0	1	1	0	NA	8	1318.8	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	2	16	5	1	7	2	1	0	0	NA	8	2001.75	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	35	0	0	7	27	1	0	0	NA	8	1758.4	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	44	22	5	16	1	0	0	0	NA	8	2562.24	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	46	6	0	38	0	2	0	0	NA	8	2571.1366666667	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	39	20	0	13	5	1	0	5	NA	8	1758.4	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	2	0	92	51	0	26	8	7	1	0	NA	8	2277.5466666667	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	0	0	20	2	0	13	2	3	0	0	NA	8	3014.4	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	21	2	6	12	1	0	0	0	NA	8	NA	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	0	32	13	0	13	3	3	0	1	NA	8	1415.0933333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	96	36	26	92	116	132	1	5	11	4	0	1	5	1	0	0	NA	8	1992.8533333333	24.02935	0.06509639	0.0231412	0.0395325	0.1405288
2010	70	56	13	22	46	56	1	159	66	0	0	63	3	0	0	0	214	3	5055.4	23.73893	0.2111818	0.004781315	0.03886669	0.7378676
